Company,Location,Date,Rocket,RocketStatus,Price,MissionStatus,Year
RVSN USSR,China,1962-03-17,Proton-M,Active,,Success,1962
Blue Origin,New Zealand,1963-04-01,Vulcan,Active,,Success,1963
SpaceX,Australia,1963-10-26,Soyuz-U,Retired,78.48,Failure,1963
NASA,India,1963-06-12,Delta IV,Active,,Success,1963
CASC,New Zealand,1963-05-14,Falcon 9,Active,,Success,1963
NASA,Kazakhstan,1963-11-19,Proton-M,Retired,194.44,Success,1963
Japan JAXA,Russia,1963-12-23,Ariane 5,Retired,,Success,1963
Boeing,Kazakhstan,1963-08-17,Falcon 9,Active,6.62,Success,1963
Boeing,USA,1963-11-11,Starship,Retired,8.78,Success,1963
Northrop,Kazakhstan,1963-11-22,Pegasus XL,Active,,Success,1963
Arianespace,Australia,1964-03-27,Ariane 5,Active,,Success,1964
Rocket Lab,Russia,1964-02-28,Antares,Active,,Success,1964
Boeing,India,1964-12-26,Long March 3B,Active,,Success,1964
Blue Origin,Russia,1964-09-26,Falcon 9,Retired,,Success,1964
ISRO,New Zealand,1964-01-26,Delta IV,Retired,232.08,Success,1964
Arianespace,USA,1964-10-28,PSLV,Active,39.25,Partial Failure,1964
Roscosmos,Australia,1964-03-07,Soyuz-U,Active,3.45,Success,1964
RVSN USSR,Japan,1964-09-23,Vulcan,Active,,Success,1964
CASC,Japan,1964-12-25,H-IIA,Retired,,Success,1964
SpaceX,France,1964-02-15,H-IIA,Active,,Success,1964
Arianespace,India,1964-03-10,Soyuz-U,Active,,Success,1964
ISRO,China,1964-11-24,Delta IV,Active,,Success,1964
Rocket Lab,India,1965-04-11,Long March 3B,Active,31.51,Success,1965
Blue Origin,Australia,1965-08-05,Proton-M,Active,,Success,1965
Arianespace,Australia,1965-11-04,Pegasus XL,Retired,,Success,1965
Japan JAXA,India,1965-02-15,Delta IV,Active,,Failure,1965
Northrop,Australia,1965-06-26,Vega,Active,,Success,1965
ULA,France,1965-12-15,Atlas V,Retired,,Success,1965
SpaceX,India,1965-03-01,Long March 3B,Retired,,Success,1965
ULA,Russia,1965-12-02,PSLV,Active,25.76,Success,1965
Rocket Lab,Australia,1965-03-17,Soyuz-U,Retired,960.88,Success,1965
CASC,Russia,1965-03-03,Vulcan,Active,26.44,Success,1965
SpaceX,Australia,1965-11-09,Delta IV,Retired,,Success,1965
CASC,Kazakhstan,1965-10-04,Long March 3B,Active,,Success,1965
ISRO,New Zealand,1965-03-06,Soyuz-U,Retired,,Success,1965
SpaceX,Japan,1965-01-15,Pegasus XL,Retired,,Success,1965
Roscosmos,Russia,1965-06-06,Vulcan,Active,,Success,1965
Roscosmos,Kazakhstan,1966-07-27,PSLV,Retired,53.77,Success,1966
Arianespace,India,1966-04-22,H-IIA,Active,,Partial Failure,1966
NASA,China,1966-04-13,Electron,Retired,193.5,Success,1966
ESA,France,1966-04-12,PSLV,Active,,Success,1966
Rocket Lab,Russia,1966-11-27,Electron,Active,,Failure,1966
CASC,France,1966-11-12,Electron,Active,7.28,Success,1966
Boeing,Australia,1966-08-28,Vulcan,Retired,,Success,1966
Virgin Orbit,France,1967-10-17,Ariane 5,Active,,Success,1967
Virgin Orbit,New Zealand,1967-09-22,Delta IV,Active,26.41,Success,1967
Northrop,Japan,1967-01-22,Falcon 9,Active,90.25,Success,1967
Roscosmos,Kazakhstan,1967-05-09,PSLV,Active,,Success,1967
Boeing,France,1967-04-25,H-IIA,Active,34.22,Success,1967
Boeing,India,1967-11-17,Soyuz-U,Retired,,Success,1967
Northrop,Kazakhstan,1967-06-21,Delta IV,Active,,Success,1967
ESA,USA,1967-10-28,Falcon 9,Retired,,Success,1967
NASA,China,1967-01-20,Falcon 9,Retired,,Success,1967
ULA,India,1967-07-19,Starship,Retired,15.3,Success,1967
Northrop,Australia,1967-01-13,Atlas V,Active,,Success,1967
Rocket Lab,Australia,1967-02-02,Atlas V,Active,,Success,1967
ULA,USA,1967-04-01,Soyuz-U,Active,,Failure,1967
ESA,Japan,1967-03-14,Proton-M,Active,,Success,1967
NASA,USA,1967-07-08,Proton-M,Retired,,Success,1967
ISRO,Japan,1968-08-22,Atlas V,Retired,,Failure,1968
ISRO,China,1968-08-02,Atlas V,Retired,,Success,1968
RVSN USSR,Australia,1968-04-20,Vulcan,Active,,Success,1968
CASC,India,1968-02-07,Long March 3B,Retired,,Success,1968
Boeing,Japan,1968-03-04,Falcon 9,Retired,14.27,Success,1968
Virgin Orbit,Russia,1969-11-10,Soyuz-U,Active,,Success,1969
Japan JAXA,Russia,1969-05-06,Atlas V,Active,,Failure,1969
Blue Origin,New Zealand,1969-11-14,Soyuz-U,Active,66.67,Success,1969
Roscosmos,USA,1969-02-13,Soyuz-U,Active,,Success,1969
ISRO,Japan,1969-02-23,H-IIA,Active,16.93,Success,1969
CASC,India,1969-06-02,Soyuz-U,Active,,Success,1969
SpaceX,China,1969-06-27,H-IIA,Retired,32.82,Success,1969
ESA,Russia,1969-01-26,Starship,Retired,,Success,1969
CASC,Russia,1969-04-19,Starship,Retired,25.14,Success,1969
Boeing,China,1969-01-27,Electron,Active,,Success,1969
Roscosmos,Australia,1969-08-22,Atlas V,Retired,,Success,1969
ULA,China,1969-03-03,PSLV,Active,,Success,1969
Arianespace,USA,1969-05-09,Vulcan,Retired,,Partial Failure,1969
ISRO,Australia,1969-08-10,Falcon 9,Retired,,Success,1969
ISRO,Japan,1969-06-02,Atlas V,Active,,Success,1969
Virgin Orbit,Kazakhstan,1969-01-10,Long March 3B,Active,,Success,1969
ISRO,Japan,1969-08-19,Falcon 9,Active,,Success,1969
Japan JAXA,China,1970-09-18,Falcon 9,Retired,,Failure,1970
ISRO,New Zealand,1970-07-14,Antares,Active,12.17,Success,1970
Japan JAXA,China,1970-11-23,Proton-M,Active,1245.35,Success,1970
Rocket Lab,Russia,1970-11-10,Pegasus XL,Active,,Failure,1970
Roscosmos,USA,1970-12-13,Vulcan,Active,,Success,1970
NASA,Kazakhstan,1970-07-12,Long March 3B,Active,,Success,1970
Roscosmos,Australia,1970-02-01,Falcon 9,Retired,,Success,1970
Rocket Lab,Russia,1970-11-23,Proton-M,Active,,Partial Failure,1970
Rocket Lab,Russia,1970-01-21,Atlas V,Active,,Success,1970
Virgin Orbit,New Zealand,1970-07-20,PSLV,Active,,Success,1970
CASC,USA,1970-08-18,Vulcan,Active,,Success,1970
Arianespace,Russia,1970-05-14,Vulcan,Active,,Success,1970
Japan JAXA,New Zealand,1970-07-24,Pegasus XL,Retired,107.31,Success,1970
Japan JAXA,Australia,1970-07-20,Electron,Retired,,Success,1970
Arianespace,Australia,1970-03-13,Ariane 5,Retired,,Failure,1970
Blue Origin,Russia,1970-03-24,H-IIA,Active,8.68,Failure,1970
ULA,China,1970-01-27,Long March 3B,Active,1098.87,Success,1970
Boeing,Kazakhstan,1970-03-03,Soyuz-U,Retired,,Success,1970
ULA,Australia,1970-05-02,Antares,Retired,,Failure,1970
Northrop,New Zealand,1970-03-25,PSLV,Retired,,Success,1970
NASA,New Zealand,1970-11-02,Pegasus XL,Active,,Success,1970
ESA,India,1970-06-05,PSLV,Active,,Success,1970
Virgin Orbit,China,1970-03-26,Antares,Active,,Success,1970
RVSN USSR,Australia,1970-01-06,PSLV,Active,,Partial Failure,1970
ESA,Kazakhstan,1970-09-13,PSLV,Retired,95.92,Failure,1970
Northrop,New Zealand,1970-06-28,Long March 3B,Retired,,Success,1970
Roscosmos,China,1970-07-10,Electron,Active,,Success,1970
Boeing,China,1970-12-07,Vulcan,Active,358.08,Success,1970
NASA,USA,1970-08-13,H-IIA,Retired,,Success,1970
RVSN USSR,India,1970-02-28,Atlas V,Retired,,Success,1970
Virgin Orbit,China,1970-04-18,Antares,Retired,82.41,Success,1970
Arianespace,USA,1970-01-22,Starship,Active,,Success,1970
Boeing,Australia,1970-12-04,Electron,Active,,Success,1970
Northrop,Kazakhstan,1970-03-11,Ariane 5,Active,31.85,Success,1970
Boeing,Japan,1970-04-17,Vega,Active,,Partial Failure,1970
RVSN USSR,New Zealand,1970-04-02,Proton-M,Active,,Success,1970
Japan JAXA,France,1970-12-24,Delta IV,Active,,Success,1970
Virgin Orbit,China,1970-03-25,Pegasus XL,Active,,Success,1970
CASC,Kazakhstan,1970-02-03,Electron,Active,,Success,1970
SpaceX,New Zealand,1970-11-08,PSLV,Active,,Success,1970
Virgin Orbit,New Zealand,1970-11-14,Falcon 9,Active,211.05,Failure,1970
NASA,France,1970-09-14,Proton-M,Retired,244.46,Success,1970
Roscosmos,USA,1970-09-28,Vulcan,Retired,,Success,1970
Japan JAXA,India,1970-01-08,Delta IV,Retired,,Success,1970
CASC,Russia,1970-06-11,Vulcan,Retired,,Success,1970
Rocket Lab,New Zealand,1970-03-24,Falcon 9,Active,,Success,1970
ISRO,USA,1970-06-22,Starship,Active,98.46,Success,1970
Virgin Orbit,France,1970-01-09,Falcon 9,Active,70.11,Success,1970
Rocket Lab,USA,1970-06-07,Antares,Active,,Success,1970
Boeing,Russia,1970-11-03,Pegasus XL,Active,4.71,Partial Failure,1970
Northrop,India,1970-08-08,H-IIA,Retired,480.28,Success,1970
NASA,France,1970-04-06,Vulcan,Retired,,Success,1970
Boeing,India,1970-11-18,Vega,Active,83.89,Success,1970
ULA,Japan,1970-10-19,Starship,Active,,Success,1970
Roscosmos,France,1970-07-19,Antares,Retired,,Success,1970
Virgin Orbit,Russia,1970-03-22,Delta IV,Retired,14.11,Success,1970
Japan JAXA,USA,1970-10-24,Proton-M,Active,,Success,1970
CASC,France,1971-01-19,Starship,Active,107.46,Success,1971
ISRO,France,1971-02-04,Vega,Retired,,Partial Failure,1971
ULA,Japan,1971-02-08,Vega,Active,,Success,1971
CASC,USA,1971-07-10,Atlas V,Active,,Success,1971
Virgin Orbit,Russia,1971-08-07,Proton-M,Retired,18.68,Success,1971
ISRO,France,1971-09-28,Soyuz-U,Active,,Success,1971
NASA,Kazakhstan,1971-08-04,Long March 3B,Retired,,Success,1971
Rocket Lab,Japan,1971-06-14,Pegasus XL,Active,,Success,1971
Boeing,New Zealand,1971-12-01,Falcon 9,Active,,Success,1971
ISRO,India,1971-12-05,Ariane 5,Active,,Success,1971
SpaceX,USA,1971-06-12,PSLV,Active,,Success,1971
Northrop,France,1971-05-20,Soyuz-U,Active,46.18,Success,1971
Boeing,USA,1971-04-21,Proton-M,Retired,427.91,Success,1971
NASA,Australia,1971-09-07,Electron,Retired,,Success,1971
Japan JAXA,Australia,1971-06-20,Pegasus XL,Active,,Success,1971
Roscosmos,France,1971-08-06,Soyuz-U,Retired,137.86,Success,1971
CASC,India,1971-10-11,Pegasus XL,Retired,,Success,1971
Boeing,Russia,1971-08-17,Soyuz-U,Active,,Success,1971
Virgin Orbit,Australia,1971-03-16,H-IIA,Retired,,Success,1971
Blue Origin,China,1971-02-06,Long March 3B,Retired,,Failure,1971
Japan JAXA,New Zealand,1971-09-21,Falcon 9,Retired,,Success,1971
Rocket Lab,New Zealand,1971-04-06,Electron,Retired,,Success,1971
RVSN USSR,India,1971-03-13,Soyuz-U,Active,,Success,1971
Northrop,USA,1971-07-15,PSLV,Retired,14.65,Success,1971
CASC,Kazakhstan,1971-01-03,Starship,Retired,,Failure,1971
Virgin Orbit,India,1971-10-02,Vega,Retired,9.7,Success,1971
Blue Origin,New Zealand,1971-02-06,Atlas V,Active,,Success,1971
Virgin Orbit,China,1971-02-16,Antares,Active,,Success,1971
CASC,France,1971-02-12,Pegasus XL,Active,,Success,1971
Northrop,China,1971-03-15,Proton-M,Active,63.76,Success,1971
Arianespace,China,1971-04-16,Antares,Active,86.15,Failure,1971
CASC,France,1971-03-08,Vulcan,Active,,Success,1971
Boeing,France,1971-04-26,Vulcan,Active,,Success,1971
ISRO,Japan,1971-07-24,Pegasus XL,Active,,Success,1971
SpaceX,Australia,1971-10-15,Ariane 5,Retired,31.38,Success,1971
Northrop,Japan,1971-10-09,Delta IV,Retired,,Success,1971
Japan JAXA,Australia,1971-01-26,Vega,Retired,,Success,1971
Northrop,China,1971-12-07,Ariane 5,Active,,Success,1971
Boeing,New Zealand,1971-07-18,Soyuz-U,Active,217.63,Success,1971
CASC,USA,1971-11-10,Atlas V,Active,237.34,Partial Failure,1971
ISRO,New Zealand,1971-07-21,Vulcan,Active,,Success,1971
NASA,Kazakhstan,1971-07-24,Vega,Active,,Success,1971
Virgin Orbit,Kazakhstan,1971-04-08,Ariane 5,Active,,Failure,1971
CASC,USA,1971-11-06,Ariane 5,Retired,,Success,1971
ISRO,Japan,1971-12-05,Ariane 5,Active,,Success,1971
Virgin Orbit,China,1971-12-26,PSLV,Active,,Success,1971
RVSN USSR,India,1971-06-17,Delta IV,Retired,,Success,1971
RVSN USSR,Russia,1971-10-04,Proton-M,Active,,Success,1971
CASC,New Zealand,1971-07-16,Proton-M,Retired,,Success,1971
Virgin Orbit,USA,1971-07-28,Starship,Retired,,Success,1971
RVSN USSR,Australia,1971-12-01,Delta IV,Retired,,Success,1971
ISRO,China,1971-07-01,Ariane 5,Active,383.02,Success,1971
CASC,India,1971-09-21,Ariane 5,Active,24.08,Partial Failure,1971
NASA,New Zealand,1971-07-26,H-IIA,Retired,,Success,1971
Arianespace,Russia,1971-06-28,Proton-M,Active,,Success,1971
CASC,France,1971-02-13,Vega,Active,13.34,Success,1971
RVSN USSR,Australia,1971-07-20,Vega,Retired,,Success,1971
Blue Origin,New Zealand,1971-04-18,Pegasus XL,Active,15.74,Success,1971
Boeing,New Zealand,1971-01-14,Soyuz-U,Active,,Success,1971
ULA,France,1971-05-02,Atlas V,Active,,Partial Failure,1971
ESA,China,1971-12-12,Soyuz-U,Active,,Success,1971
Virgin Orbit,France,1971-11-02,Soyuz-U,Active,,Failure,1971
Virgin Orbit,Japan,1971-10-25,Atlas V,Active,,Success,1971
NASA,Russia,1971-07-19,Antares,Active,,Success,1971
ISRO,Kazakhstan,1971-03-07,Long March 3B,Active,,Success,1971
Virgin Orbit,USA,1971-07-28,Ariane 5,Active,,Success,1971
Arianespace,France,1971-04-03,Ariane 5,Active,263.93,Success,1971
Roscosmos,India,1971-07-02,Vulcan,Retired,,Success,1971
Blue Origin,China,1971-10-24,Delta IV,Active,,Success,1971
CASC,USA,1972-05-21,Antares,Retired,,Success,1972
NASA,China,1972-01-28,Antares,Active,,Success,1972
Northrop,China,1972-02-08,Ariane 5,Active,34.21,Success,1972
RVSN USSR,New Zealand,1972-05-10,Antares,Active,,Success,1972
Rocket Lab,USA,1972-09-01,H-IIA,Active,,Success,1972
NASA,USA,1972-12-11,Vega,Active,,Success,1972
Roscosmos,Russia,1972-01-28,PSLV,Retired,,Success,1972
Roscosmos,Australia,1972-01-23,Antares,Retired,,Success,1972
CASC,Australia,1972-03-24,Antares,Retired,,Success,1972
RVSN USSR,Australia,1972-10-14,Falcon 9,Active,,Success,1972
Arianespace,France,1972-03-11,Pegasus XL,Active,,Success,1972
Boeing,China,1972-10-06,Long March 3B,Retired,106.12,Failure,1972
Japan JAXA,USA,1972-02-03,Pegasus XL,Active,,Success,1972
SpaceX,France,1972-02-10,Vulcan,Retired,52.85,Success,1972
CASC,France,1972-05-16,Starship,Active,,Failure,1972
Virgin Orbit,Russia,1972-02-23,Electron,Active,108.76,Success,1972
ISRO,New Zealand,1972-09-18,PSLV,Retired,,Success,1972
ULA,France,1972-03-14,Vulcan,Retired,,Success,1972
SpaceX,Australia,1972-07-17,Long March 3B,Active,,Partial Failure,1972
Virgin Orbit,New Zealand,1972-05-08,Pegasus XL,Active,,Success,1972
Blue Origin,Australia,1972-11-22,Vulcan,Active,,Success,1972
ULA,New Zealand,1972-02-21,Delta IV,Active,,Failure,1972
Japan JAXA,France,1972-07-24,Electron,Retired,,Success,1972
Virgin Orbit,India,1972-03-22,Electron,Retired,,Success,1972
RVSN USSR,Japan,1972-09-05,Antares,Active,,Success,1972
Japan JAXA,Australia,1972-12-05,Vega,Active,,Success,1972
RVSN USSR,USA,1972-02-11,Ariane 5,Retired,,Partial Failure,1972
ISRO,China,1972-09-20,Vulcan,Active,,Failure,1972
Arianespace,India,1972-02-21,Vega,Active,21.29,Failure,1972
ISRO,France,1972-08-19,Electron,Retired,,Success,1972
CASC,France,1972-06-03,Pegasus XL,Active,,Success,1972
Boeing,China,1972-05-10,Delta IV,Active,,Success,1972
ULA,France,1972-07-07,Starship,Active,118.86,Success,1972
Arianespace,Kazakhstan,1972-04-24,PSLV,Active,,Success,1972
Blue Origin,Australia,1972-12-28,Soyuz-U,Retired,,Success,1972
RVSN USSR,USA,1972-12-26,Pegasus XL,Active,,Success,1972
ULA,China,1972-04-23,Pegasus XL,Retired,,Partial Failure,1972
SpaceX,Japan,1972-11-25,Falcon 9,Retired,335.67,Success,1972
Virgin Orbit,India,1972-04-16,Antares,Active,,Success,1972
Japan JAXA,India,1972-10-16,Pegasus XL,Retired,,Success,1972
CASC,New Zealand,1972-11-17,Ariane 5,Active,,Success,1972
Blue Origin,India,1972-03-21,Antares,Retired,,Success,1972
RVSN USSR,Kazakhstan,1972-05-20,Vulcan,Retired,,Success,1972
SpaceX,China,1972-10-04,Vega,Active,,Success,1972
Blue Origin,Japan,1972-04-06,Proton-M,Active,,Success,1972
ISRO,India,1972-04-24,Vulcan,Active,,Success,1972
ISRO,France,1972-06-28,Long March 3B,Active,116.39,Success,1972
Roscosmos,Kazakhstan,1972-06-10,Proton-M,Active,,Failure,1972
ISRO,India,1972-11-20,Starship,Active,,Success,1972
NASA,New Zealand,1972-07-06,Long March 3B,Active,,Success,1972
Japan JAXA,Russia,1972-10-12,PSLV,Active,40.04,Success,1972
ESA,New Zealand,1972-03-23,Long March 3B,Active,,Success,1972
Boeing,China,1972-05-12,PSLV,Active,,Success,1972
ISRO,New Zealand,1972-09-07,Falcon 9,Retired,,Success,1972
ULA,Japan,1972-02-28,Falcon 9,Active,166.01,Success,1972
Boeing,New Zealand,1972-06-14,Proton-M,Active,,Failure,1972
ULA,Russia,1972-10-02,Falcon 9,Retired,14.17,Success,1972
RVSN USSR,Japan,1972-06-28,Delta IV,Retired,,Success,1972
Northrop,Kazakhstan,1972-07-21,Atlas V,Active,119.13,Success,1972
Arianespace,France,1972-09-08,Vulcan,Active,35.43,Failure,1972
Boeing,USA,1972-03-08,Pegasus XL,Active,100.86,Success,1972
Virgin Orbit,USA,1972-07-25,Vega,Active,,Partial Failure,1972
Northrop,Russia,1972-08-12,Electron,Retired,,Success,1972
Boeing,Australia,1972-05-08,PSLV,Active,,Failure,1972
Roscosmos,New Zealand,1972-02-10,Pegasus XL,Active,,Success,1972
Virgin Orbit,France,1972-03-13,Delta IV,Active,,Success,1972
RVSN USSR,Russia,1972-07-08,Electron,Active,,Success,1972
CASC,China,1972-03-09,Ariane 5,Retired,,Failure,1972
Virgin Orbit,Japan,1972-02-04,Falcon 9,Active,,Success,1972
Virgin Orbit,India,1972-01-04,Vega,Active,56.78,Failure,1972
ISRO,France,1972-12-09,Soyuz-U,Active,,Success,1972
Arianespace,India,1972-09-11,Soyuz-U,Retired,,Success,1972
NASA,New Zealand,1972-12-28,Long March 3B,Retired,,Failure,1972
Blue Origin,China,1972-03-20,Starship,Retired,,Failure,1972
NASA,New Zealand,1972-09-23,Atlas V,Retired,,Success,1972
ULA,USA,1972-03-01,Long March 3B,Retired,,Success,1972
Arianespace,Russia,1972-07-06,Soyuz-U,Active,39.63,Partial Failure,1972
ISRO,France,1972-10-25,Starship,Retired,41.72,Success,1972
Japan JAXA,India,1972-05-21,Pegasus XL,Active,26.76,Success,1972
Blue Origin,France,1972-09-03,Vulcan,Retired,,Partial Failure,1972
Virgin Orbit,Russia,1972-07-27,Atlas V,Active,,Partial Failure,1972
Northrop,Russia,1972-03-14,PSLV,Active,17.42,Success,1972
Northrop,France,1972-10-06,Falcon 9,Active,,Success,1972
Roscosmos,India,1972-03-09,H-IIA,Active,,Success,1972
Virgin Orbit,France,1972-11-28,Antares,Retired,,Success,1972
Roscosmos,New Zealand,1972-08-06,Starship,Active,,Success,1972
CASC,France,1972-01-24,PSLV,Active,37.93,Success,1972
Arianespace,New Zealand,1972-11-14,Vulcan,Active,,Success,1972
ISRO,France,1973-09-14,Electron,Retired,,Success,1973
ULA,New Zealand,1973-01-16,PSLV,Active,,Success,1973
Blue Origin,Kazakhstan,1973-05-05,Electron,Active,,Success,1973
Arianespace,China,1973-09-09,Atlas V,Active,,Success,1973
Arianespace,Kazakhstan,1973-08-13,Falcon 9,Retired,,Partial Failure,1973
Roscosmos,Australia,1973-09-19,Starship,Retired,,Success,1973
Boeing,France,1973-04-25,Antares,Active,,Success,1973
Rocket Lab,Kazakhstan,1973-03-22,Ariane 5,Retired,130.68,Success,1973
Virgin Orbit,Russia,1973-01-08,PSLV,Retired,,Success,1973
Roscosmos,India,1973-12-06,Delta IV,Active,24.31,Failure,1973
Boeing,Australia,1973-01-03,Atlas V,Active,,Success,1973
ESA,Kazakhstan,1973-06-17,Antares,Active,,Success,1973
Blue Origin,USA,1973-01-26,Vulcan,Active,,Success,1973
Roscosmos,China,1973-11-22,Long March 3B,Retired,,Success,1973
Blue Origin,New Zealand,1973-01-24,H-IIA,Active,,Failure,1973
CASC,Kazakhstan,1973-11-14,Electron,Active,,Success,1973
RVSN USSR,USA,1973-05-13,PSLV,Retired,,Success,1973
Virgin Orbit,USA,1973-08-25,Antares,Retired,,Failure,1973
